id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,14:15:00,24,1,1
1,07:00:00,09:00:00,6,3,1
2,07:00:00,12:25:00,10,19,1
3,07:00:00,09:00:00,1,21,1
4,08:15:00,14:40:00,17,11,2
5,07:00:00,12:00:00,1,3,1
6,11:30:00,15:15:00,9,17,1
7,10:25:00,16:45:00,19,3,2
8,10:25:00,12:25:00,22,10,2
9,07:00:00,08:20:00,25,22,1
10,12:25:00,13:35:00,2,9,1
11,07:00:00,12:35:00,12,19,1
12,07:00:00,08:00:00,11,3,1
13,07:00:00,08:55:00,14,11,1
14,07:45:00,09:25:00,10,9,2
15,07:00:00,08:15:00,5,11,1
16,07:00:00,11:20:00,20,5,1
17,10:50:00,14:20:00,15,10,1
18,11:40:00,16:25:00,16,23,2
19,11:20:00,13:50:00,22,11,1
