10 20 840 6 0
0 0.0 0 0.0 840 840
1 2.0 1 90.0 105.0 44.93
2 2.0 1 335.0 350.0 63.62
3 2.0 1 500.0 515.0 37.13
4 2.0 2 565.0 580.0 41.93
5 2.0 1 160.0 175.0 54.68
6 2.0 1 260.0 275.0 61.0
7 2.0 1 370.0 385.0 37.02
8 2.0 1 225.0 240.0 39.52
9 2.0 1 565.0 580.0 20.53
10 2.0 1 580.0 595.0 55.23
11 2.0 -1 113.93 149.93 44.93
12 2.0 -1 374.62 413.62 63.62
13 2.0 -1 518.13 552.13 37.13
14 2.0 -2 586.93 621.93 41.93
15 2.0 -1 191.68 229.68 54.68
16 2.0 -1 297.0 336.0 61.0
17 2.0 -1 388.02 422.02 37.02
18 2.0 -1 244.52 279.52 39.52
19 2.0 -1 572.53 600.53 20.53
20 2.0 -1 612.23 650.23 55.23
21 0.0 0 0.0 840 840
